rank,cca3,country,continent,2023 population,2022 population,2020 population,2015 population,2010 population,2000 population,1990 population,1980 population,1970 population,area (km²),density (km²),growth rate,world percentage
1,IND,India,Asia,1428627663,1417173173,1396387127,1322866505,1240613620,1059633675,870452165,696828385,557501301,3287590,481,0.81%,17.85%
2,CHN,China,Asia,1425671352,1425887337,1424929781,1393715448,1348191368,1264099069,1153704252,982372466,822534450,9706961,151,-0.02%,17.81%
3,USA,United States,North America,339996563,338289857,335942003,324607776,311182845,282398554,248083732,223140018,200328340,9372610,37,0.50%,4.25%
4,IDN,Indonesia,Asia,277534122,275501339,271857970,259091970,244016173,214072421,182159874,148177096,115228394,1904569,148,0.74%,3.47%
5,PAK,Pakistan,Asia,240485658,235824862,227196741,210969298,194454498,154369924,115414069,80624057,59290872,881912,312,1.98%,3.00%
6,NGA,Nigeria,Africa,223804632,218541212,208327405,183995785,160952853,122851984,95214257,72951439,55569264,923768,246,2.41%,2.80%
7,BRA,Brazil,South America,216422446,215313498,213196304,205188205,196353492,175873720,150706446,122288383,96369875,8515767,26,0.52%,2.70%
8,BGD,Bangladesh,Asia,172954319,171186372,167420951,157830000,148391139,129193327,107147651,83929765,67541860,147570,1329,1.03%,2.16%
9,RUS,Russia,Europe,144444359,144713314,145617329,144668389,143242599,146844839,148005704,138257420,130093010,17098242,9,-0.19%,1.80%
10,MEX,Mexico,North America,128455567,127504125,125998302,120149897,112532401,97873442,81720428,67705186,50289306,1964375,66,0.75%,1.60%
11,ETH,Ethiopia,Africa,126527060,123379924,117190911,102471895,89237791,67031867,47878073,34945469,28308246,1104300,112,2.55%,1.58%
12,JPN,Japan,Asia,123294513,123951692,125244761,127250933,128105431,126803861,123686321,117624196,105416839,377930,338,-0.53%,1.54%
13,PHL,Philippines,Asia,117337368,115559009,112190977,103031365,94636700,77958223,61558898,48419546,37435586,342353,394,1.54%,1.47%
14,EGY,Egypt,Africa,112716598,110990103,107465134,97723799,87252413,71371371,57214630,43748556,34781986,1002450,113,1.56%,1.41%
15,COD,DR Congo,Africa,102262808,99010212,92853164,78656904,66391257,48616317,35987541,26708686,20151733,2344858,45,3.29%,1.28%
16,VNM,Vietnam,Asia,98858950,98186856,96648685,92191398,87411012,79001142,66912613,52968270,41928849,331212,315,0.68%,1.23%
17,IRN,Iran,Asia,89172767,88550570,87290193,81790841,75373855,65544383,55793629,38520664,28449705,1648195,55,0.70%,1.11%
18,TUR,Turkey,Asia,85816199,85341241,84135428,79646178,73195345,64113547,54324142,44089069,35540990,783562,110,0.56%,1.07%
19,DEU,Germany,Europe,83294633,83369843,83328988,82073226,81325090,81551677,79370196,77786703,78294583,357114,238,-0.09%,1.04%
20,THA,Thailand,Asia,71801279,71697030,71475664,70294397,68270489,63066603,55228410,45737753,35791728,513120,141,0.15%,0.90%
21,GBR,United Kingdom,Europe,67736802,67508936,67059474,65224364,62760039,58850043,57210442,56326328,55650166,242900,280,0.34%,0.85%
22,TZA,Tanzania,Africa,67438106,65497748,61704518,52542823,45110527,34463704,26206012,19297659,13618192,945087,76,2.96%,0.84%
23,FRA,France,Europe,64756584,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,551695,118,0.20%,0.81%
24,ZAF,South Africa,Africa,60414495,59893885,58801927,55876504,51784921,46813266,39877570,29463549,22368306,1221037,50,0.87%,0.75%
25,ITA,Italy,Europe,58870762,59037474,59500579,60232906,59822450,56966397,56756561,56329482,53324036,301336,199,-0.28%,0.74%
26,KEN,Kenya,Africa,55100586,54027487,51985780,46851488,41517895,30851606,23162269,16187124,11473087,580367,97,1.99%,0.69%
27,MMR,Myanmar,Asia,54577997,54179306,53423198,51483949,49390988,45538332,40099553,33465781,27284112,676578,84,0.74%,0.68%
28,COL,Colombia,South America,52085168,51874024,50930662,47119728,44816108,39215135,32601393,26176195,20905254,1141748,47,0.41%,0.65%
29,KOR,South Korea,Asia,51784059,51815810,51844690,50994401,48813042,46788591,44120039,38170501,32601143,100210,531,-0.06%,0.65%
30,UGA,Uganda,Africa,48582334,47249585,44404611,37477356,32341728,24020697,17586630,13284026,10317212,241550,242,2.82%,0.61%
31,SDN,Sudan,Africa,48109006,46874204,44440486,38171178,33739933,26298773,21090886,16673586,11305206,1886068,26,2.63%,0.60%
32,ESP,Spain,Europe,47519628,47558630,47363807,46431342,46572772,40741651,38889889,37491666,33792617,505992,95,-0.08%,0.59%
33,ARG,Argentina,South America,45773884,45510318,45036032,43257065,41100123,37070774,32637657,28024803,23842803,2780400,17,0.58%,0.57%
34,DZA,Algeria,Africa,45606480,44903225,43451666,39543154,35856344,30774621,25518074,18739378,13795915,2381741,19,1.57%,0.57%
35,IRQ,Iraq,Asia,45504560,44496122,42556984,37757813,31264875,24628858,17658381,13653369,9811347,438317,105,2.27%,0.57%
36,AFG,Afghanistan,Asia,42239854,41128771,38972230,33753499,28189672,19542982,10694796,12486631,10752971,652230,65,2.70%,0.53%
37,POL,Poland,Europe,41026067,39857145,38428366,38553146,38597353,38504431,38064255,35521429,32482943,312679,134,2.93%,0.51%
38,CAN,Canada,North America,38781291,38454327,37888705,35732126,33963412,30683313,27657204,24511510,21434577,9984670,4,0.85%,0.48%
39,MAR,Morocco,Africa,37840044,37457971,36688772,34680458,32464865,28554415,24570814,19678444,15274351,446550,85,1.02%,0.47%
40,SAU,Saudi Arabia,Asia,36947025,36408820,35997107,32749848,29411929,21547390,16004763,10171710,6106191,2149690,17,1.48%,0.46%
41,UKR,Ukraine,Europe,36744634,39701739,43909666,44982564,45683020,48879755,51589817,49973920,47279086,603500,63,-7.45%,0.46%
42,AGO,Angola,Africa,36684202,35588987,33428485,28127721,23364185,16394062,11828638,8330047,6029700,1246700,29,3.08%,0.46%
43,UZB,Uzbekistan,Asia,35163944,34627652,33526656,30949417,28614227,24925554,20579100,15947129,12011361,447400,80,1.55%,0.44%
44,YEM,Yemen,Asia,34449825,33696614,32284046,28516545,24743946,18628700,13375121,9204938,6843607,527968,65,2.24%,0.43%
45,PER,Peru,South America,34352719,34049588,33304756,30711863,29229572,26654439,22109099,17492406,13562371,1285216,27,0.89%,0.43%
46,MYS,Malaysia,Asia,34308525,33938221,33199993,31068833,28717731,22945150,17517054,13215707,10306508,330803,104,1.09%,0.43%
47,GHA,Ghana,Africa,34121985,33475870,32180401,28870939,25574719,19665502,15446982,11865246,8861895,238533,150,1.93%,0.43%
48,MOZ,Mozambique,Africa,33897354,32969518,31178239,26843246,23073723,17768505,13303459,11413587,8411676,801590,43,2.81%,0.42%
49,NPL,Nepal,Asia,30896590,30547580,29348627,27610325,27161567,24559500,19616530,15600442,12501285,147181,216,1.14%,0.39%
50,MDG,Madagascar,Africa,30325732,29611714,28225177,24850912,21731053,16216431,11882762,8948162,6639751,587041,52,2.41%,0.38%
51,CIV,Ivory Coast,Africa,28873034,28160542,26811790,23596741,21120042,16799670,11910540,8303810,5477086,322463,91,2.53%,0.36%
52,VEN,Venezuela,South America,28838499,28301696,28490453,30529716,28715022,24427729,19750579,15210443,11355475,916445,33,1.90%,0.36%
53,CMR,Cameroon,Africa,28647293,27914536,26491087,23012646,19878036,15091594,11430520,8519891,6452787,475442,61,2.63%,0.36%
54,NER,Niger,Africa,27202843,26207977,24333639,20128124,16647543,11622665,8370647,6173177,4669708,1267000,21,3.80%,0.34%
55,AUS,Australia,Oceania,26439111,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034,7692024,3,1.00%,0.33%
56,PRK,North Korea,Asia,26160821,26069416,25867467,25258015,24686435,23367059,20799523,17973650,14996879,120538,217,0.35%,0.33%
57,TWN,Taiwan,Asia,23923276,23893394,23821464,23512136,23083083,22194731,20586174,18100281,14957870,36193,661,0.13%,0.30%
58,MLI,Mali,Africa,23293698,22593590,21224040,18112907,15529181,11239101,8945026,7372581,6153587,1240192,19,3.10%,0.29%
59,BFA,Burkina Faso,Africa,23251485,22673762,21522626,18718019,16116845,11882888,9131361,6932967,5611666,272967,85,2.55%,0.29%
60,SYR,Syria,Asia,23227014,22125249,20772595,19205178,22337563,16307654,12408996,8898954,6319199,185180,126,4.98%,0.29%
61,LKA,Sri Lanka,Asia,21893579,21832143,21715079,21336697,20668557,18776371,17204094,14943645,12388769,65610,354,0.28%,0.27%
62,MWI,Malawi,Africa,20931751,20405317,19377061,16938942,14718422,11229387,9539665,6267369,4625141,118484,222,2.58%,0.26%
63,ZMB,Zambia,Africa,20569737,20017675,18927715,16248230,13792086,9891136,7686401,5720438,4281671,752612,28,2.76%,0.26%
64,ROU,Romania,Europe,19892812,19659267,19442038,19906079,20335211,21919876,22836234,22125224,19922618,238391,86,1.19%,0.25%
65,CHL,Chile,South America,19629590,19603733,19300315,17870124,17004162,15351799,13342868,11469828,9820481,756102,26,0.13%,0.25%
66,KAZ,Kazakhstan,Asia,19606633,19397998,18979243,17835909,16627837,15236253,16866563,14172710,12265305,2724900,7,1.08%,0.24%
67,TCD,Chad,Africa,18278568,17723315,16644701,14140274,11894727,8259137,5827069,4408230,3667394,1284000,15,3.13%,0.23%
68,ECU,Ecuador,South America,18190484,18001000,17588595,16195902,14989585,12626507,10449837,8135845,6172215,276841,73,1.05%,0.23%
69,SOM,Somalia,Africa,18143378,17597511,16537016,13763906,12026649,8721465,6999096,5892224,3720977,637657,29,3.10%,0.23%
70,GTM,Guatemala,North America,18092026,17843908,17362718,16001107,14543121,11735894,9084780,6987767,5453208,108889,169,1.39%,0.23%
71,SEN,Senegal,Africa,17763163,17316449,16436119,14356181,12530121,9704287,7536001,5703869,4367744,196722,92,2.58%,0.22%
72,NLD,Netherlands,Europe,17618299,17564014,17434557,17041107,16617117,15899135,14944548,14130387,13037686,41850,523,0.31%,0.22%
73,KHM,Cambodia,Asia,16944826,16767842,16396860,15417523,14363532,12118841,8910808,6198959,6708525,181035,96,1.06%,0.21%
74,ZWE,Zimbabwe,Africa,16665409,16320537,15669666,14154937,12839771,11834676,10113893,7049926,5202918,390757,43,2.11%,0.21%
75,GIN,Guinea,Africa,14190612,13859341,13205153,11625998,10270728,8336967,6354145,4972609,4222374,245857,58,2.39%,0.18%
76,RWA,Rwanda,Africa,14094683,13776698,13146362,11642959,10309031,8109989,7319962,5247532,3896367,26338,571,2.31%,0.18%
77,BEN,Benin,Africa,13712828,13352864,12643123,10932783,9445710,6998023,5133419,3833939,3023443,112622,122,2.70%,0.17%
78,BDI,Burundi,Africa,13238559,12889576,12220227,10727148,9126605,6307659,5483793,4312834,3497834,27834,516,2.71%,0.17%
79,TUN,Tunisia,Africa,12458223,12356117,12161723,11557779,10895063,9893316,8440023,6578156,5047404,163610,80,0.83%,0.16%
80,BOL,Bolivia,South America,12388571,12224110,11936162,11090085,10223270,8592656,7096194,5736088,4585693,1098581,11,1.35%,0.15%
81,HTI,Haiti,North America,11724763,11584996,11306801,10563757,9842880,8360225,6925331,5646676,4680812,27750,425,1.21%,0.15%
82,BEL,Belgium,Europe,11686140,11655930,11561717,11248303,10877947,10264343,9959560,9828986,9629376,30528,386,0.26%,0.15%
83,JOR,Jordan,Asia,11337052,11285869,10928721,9494246,6931258,5056174,3480587,2216903,1557374,89342,128,0.45%,0.14%
84,DOM,Dominican Republic,North America,11332972,11228821,10999664,10405832,9775755,8540791,7129004,5755800,4475871,48671,235,0.93%,0.14%
85,CUB,Cuba,North America,11194449,11212191,11300698,11339894,11290417,11105791,10626680,9809107,8869636,109884,108,-0.16%,0.14%
86,SSD,South Sudan,Africa,11088796,10913164,10606227,11194299,9714419,6114440,4750817,4192012,3342410,619745,18,1.61%,0.14%
87,SWE,Sweden,Europe,10612086,10549347,10368969,9849349,9381729,8871043,8548406,8311763,8027702,450295,26,0.59%,0.13%
88,HND,Honduras,North America,10593798,10432860,10121763,9294505,8450933,6656725,5053234,3777990,2782753,112492,95,1.54%,0.13%
89,CZE,Czech Republic,Europe,10495295,10493986,10530953,10523798,10464749,10234710,10301192,10270060,9795744,78865,136,0.01%,0.13%
90,AZE,Azerbaijan,Asia,10412651,10358074,10284951,9863480,9237202,8190337,7427836,6383060,5425317,86600,126,0.53%,0.13%
91,GRC,Greece,Europe,10341277,10384971,10512232,10806641,11033783,11038109,10302255,9307148,8544873,131990,80,-0.42%,0.13%
92,PNG,Papua New Guinea,Oceania,10329931,10142619,9749640,8682174,7583269,5508297,3864972,3104788,2489059,462840,23,1.85%,0.13%
93,PRT,Portugal,Europe,10247605,10270865,10298192,10365435,10588401,10300626,10007346,9785252,8683631,92090,112,-0.23%,0.13%
94,HUN,Hungary,Europe,10156239,9967308,9750573,9844246,9986825,10202055,10375989,10698679,10315366,93028,111,1.90%,0.13%
95,TJK,Tajikistan,Asia,10143543,9952787,9543207,8524063,7621779,6272998,5417860,4045965,2993019,143100,73,1.92%,0.13%
96,ARE,United Arab Emirates,Asia,9516871,9441129,9287289,8916899,8481771,3275333,1900151,1014048,298084,83600,134,0.80%,0.12%
97,BLR,Belarus,Europe,9498238,9534954,9633740,9700609,9731427,10256483,10428525,9817257,9170786,207600,47,-0.39%,0.12%
98,ISR,Israel,Asia,9174520,9038309,8757489,8007778,7328445,6116958,4803254,3744608,2907307,20770,424,1.51%,0.11%
99,TGO,Togo,Africa,9053799,8848699,8442580,7473229,6571855,5008035,3875947,2838110,2197383,56785,166,2.32%,0.11%
100,AUT,Austria,Europe,8958960,8939617,8907777,8642421,8362829,8010428,7678729,7547561,7465301,83871,109,0.22%,0.11%
101,CHE,Switzerland,Europe,8796669,8740472,8638613,8281732,7822435,7182059,6711693,6319113,6181227,41284,223,0.64%,0.11%
102,SLE,Sierra Leone,Africa,8791092,8605718,8233969,7314773,6436698,4584067,4325388,3367477,2778557,71740,122,2.15%,0.11%
103,LAO,Laos,Asia,7633779,7529475,7319399,6787419,6323418,5430853,4314443,3297519,2675283,236800,33,1.39%,0.10%
104,HKG,Hong Kong,Asia,7491609,7488865,7500958,7399838,7132438,6731195,5838574,4978544,3955072,1104,7135,0.04%,0.09%
105,SRB,Serbia,Europe,7149077,7221365,7358005,7519496,7653748,7935022,7987529,7777010,7193533,88361,82,-1.00%,0.09%
106,NIC,Nicaragua,North America,7046310,6948392,6755895,6298598,5855734,5123222,4227820,3303309,2444767,130373,59,1.41%,0.09%
107,LBY,Libya,Africa,6888388,6812341,6653942,6192235,6491988,5154790,4236983,2962720,1909177,1759540,4,1.12%,0.09%
108,PRY,Paraguay,South America,6861524,6780744,6618695,6177950,5768613,5123819,4059195,3078912,2408787,406752,17,1.19%,0.09%
109,KGZ,Kyrgyzstan,Asia,6735347,6630623,6424874,5914980,5483774,4935182,4394734,3691209,3016384,199951,35,1.58%,0.08%
